PING 10.0.105.200 (10.0.105.200) 56(84) bytes of data.
64 bytes from 10.0.105.200: icmp_seq=1 ttl=61 time=28.2 ms
64 bytes from 10.0.105.200: icmp_seq=2 ttl=61 time=29.7 ms
64 bytes from 10.0.105.200: icmp_seq=3 ttl=61 time=41.2 ms
64 bytes from 10.0.105.200: icmp_seq=4 ttl=61 time=26.9 ms
64 bytes from 10.0.105.200: icmp_seq=5 ttl=61 time=29.1 ms
64 bytes from 10.0.105.200: icmp_seq=6 ttl=61 time=31.6 ms
64 bytes from 10.0.105.200: icmp_seq=7 ttl=61 time=28.7 ms
64 bytes from 10.0.105.200: icmp_seq=8 ttl=61 time=50.4 ms
64 bytes from 10.0.105.200: icmp_seq=9 ttl=61 time=29.4 ms
64 bytes from 10.0.105.200: icmp_seq=10 ttl=61 time=30.9 ms
64 bytes from 10.0.105.200: icmp_seq=11 ttl=61 time=30.2 ms
64 bytes from 10.0.105.200: icmp_seq=12 ttl=61 time=29.1 ms
64 bytes from 10.0.105.200: icmp_seq=13 ttl=61 time=41.3 ms
64 bytes from 10.0.105.200: icmp_seq=14 ttl=61 time=26.8 ms
64 bytes from 10.0.105.200: icmp_seq=15 ttl=61 time=32.3 ms
64 bytes from 10.0.105.200: icmp_seq=16 ttl=61 time=27.2 ms
64 bytes from 10.0.105.200: icmp_seq=17 ttl=61 time=29.2 ms
64 bytes from 10.0.105.200: icmp_seq=18 ttl=61 time=47.1 ms
64 bytes from 10.0.105.200: icmp_seq=19 ttl=61 time=33.3 ms
64 bytes from 10.0.105.200: icmp_seq=20 ttl=61 time=34.8 ms
64 bytes from 10.0.105.200: icmp_seq=21 ttl=61 time=31.7 ms
64 bytes from 10.0.105.200: icmp_seq=22 ttl=61 time=30.6 ms
64 bytes from 10.0.105.200: icmp_seq=23 ttl=61 time=51.6 ms
64 bytes from 10.0.105.200: icmp_seq=24 ttl=61 time=30.9 ms
64 bytes from 10.0.105.200: icmp_seq=25 ttl=61 time=26.7 ms
64 bytes from 10.0.105.200: icmp_seq=26 ttl=61 time=31.1 ms
64 bytes from 10.0.105.200: icmp_seq=27 ttl=61 time=33.0 ms
64 bytes from 10.0.105.200: icmp_seq=28 ttl=61 time=34.6 ms
64 bytes from 10.0.105.200: icmp_seq=29 ttl=61 time=29.1 ms
64 bytes from 10.0.105.200: icmp_seq=30 ttl=61 time=26.8 ms
64 bytes from 10.0.105.200: icmp_seq=31 ttl=61 time=28.0 ms
64 bytes from 10.0.105.200: icmp_seq=32 ttl=61 time=33.2 ms
64 bytes from 10.0.105.200: icmp_seq=33 ttl=61 time=31.0 ms
64 bytes from 10.0.105.200: icmp_seq=34 ttl=61 time=28.4 ms
64 bytes from 10.0.105.200: icmp_seq=35 ttl=61 time=66.4 ms
64 bytes from 10.0.105.200: icmp_seq=36 ttl=61 time=30.4 ms
64 bytes from 10.0.105.200: icmp_seq=37 ttl=61 time=35.2 ms
64 bytes from 10.0.105.200: icmp_seq=38 ttl=61 time=36.1 ms
64 bytes from 10.0.105.200: icmp_seq=39 ttl=61 time=42.4 ms
64 bytes from 10.0.105.200: icmp_seq=40 ttl=61 time=33.9 ms
64 bytes from 10.0.105.200: icmp_seq=41 ttl=61 time=39.2 ms
64 bytes from 10.0.105.200: icmp_seq=42 ttl=61 time=110 ms
64 bytes from 10.0.105.200: icmp_seq=43 ttl=61 time=35.4 ms
64 bytes from 10.0.105.200: icmp_seq=44 ttl=61 time=31.7 ms
64 bytes from 10.0.105.200: icmp_seq=45 ttl=61 time=31.8 ms
64 bytes from 10.0.105.200: icmp_seq=46 ttl=61 time=28.4 ms
64 bytes from 10.0.105.200: icmp_seq=47 ttl=61 time=31.2 ms
64 bytes from 10.0.105.200: icmp_seq=48 ttl=61 time=27.7 ms
64 bytes from 10.0.105.200: icmp_seq=49 ttl=61 time=31.6 ms
64 bytes from 10.0.105.200: icmp_seq=50 ttl=61 time=32.0 ms
64 bytes from 10.0.105.200: icmp_seq=51 ttl=61 time=26.6 ms
64 bytes from 10.0.105.200: icmp_seq=52 ttl=61 time=31.5 ms
64 bytes from 10.0.105.200: icmp_seq=53 ttl=61 time=32.0 ms
64 bytes from 10.0.105.200: icmp_seq=54 ttl=61 time=27.6 ms
64 bytes from 10.0.105.200: icmp_seq=55 ttl=61 time=62.9 ms
64 bytes from 10.0.105.200: icmp_seq=56 ttl=61 time=31.5 ms
64 bytes from 10.0.105.200: icmp_seq=57 ttl=61 time=34.2 ms
64 bytes from 10.0.105.200: icmp_seq=58 ttl=61 time=31.2 ms
64 bytes from 10.0.105.200: icmp_seq=59 ttl=61 time=30.0 ms
64 bytes from 10.0.105.200: icmp_seq=60 ttl=61 time=46.0 ms

--- 10.0.105.200 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59137ms
rtt min/avg/max/mdev = 26.597/35.003/109.500/12.563 ms
